,year,price,mileage,engine_size,Automatic,Manual,Other,Semi-Auto,Diesel,Hybrid,fuel_type_Other,Petrol
185,2014,26998,24175,62.0,0,0,0,1,0,0,0,1
186,2016,20498,27968,21.0,0,0,0,1,1,0,0,0
187,2018,27498,9255,2.0,0,0,0,1,1,0,0,0
188,2016,16998,26973,16.0,0,0,0,1,1,0,0,0
189,2018,27498,12491,21.0,0,0,0,1,1,0,0,0
190,2019,27698,14999,2.0,0,0,0,1,1,0,0,0
191,2016,27498,37941,3.0,0,0,0,1,0,0,0,1
192,2019,32498,11301,2.0,0,0,0,1,1,0,0,0
193,2019,24498,12629,21.0,0,0,0,1,1,0,0,0
194,2017,21498,20981,21.0,0,0,0,1,1,0,0,0
195,2017,18998,23760,21.0,0,0,0,1,1,0,0,0
196,2014,15998,26216,21.0,0,0,0,1,1,0,0,0
197,2013,9298,80485,21.0,0,0,0,1,1,0,0,0
198,2018,22998,18739,21.0,0,0,0,1,1,0,0,0
199,2016,12998,53453,21.0,0,1,0,0,1,0,0,0
200,2016,22998,23090,21.0,0,0,0,1,1,0,0,0
201,2016,17998,26100,21.0,0,1,0,0,1,0,0,0
202,2019,28498,4285,2.0,0,0,0,1,1,0,0,0
203,2016,18998,28388,16.0,0,0,0,1,1,0,0,0
204,2017,20998,16902,21.0,0,0,0,1,1,0,0,0
205,2016,21998,31227,21.0,0,0,0,1,1,0,0,0
206,2015,13998,24010,16.0,0,1,0,0,1,0,0,0
207,2019,24498,15838,2.0,0,0,0,1,1,0,0,0
208,2017,20998,17657,21.0,0,0,0,1,0,1,0,0
209,2019,30498,4977,2.0,0,0,0,1,1,0,0,0
210,2016,19498,24756,21.0,0,0,0,1,1,0,0,0
211,2014,15298,41416,21.0,0,0,0,1,1,0,0,0
212,2019,33998,3814,15.0,0,0,0,1,0,0,0,1
213,2019,32998,17,15.0,0,0,0,1,0,0,0,1
214,2016,16498,37080,21.0,0,0,0,1,1,0,0,0
215,2016,15498,73582,21.0,0,0,0,1,1,0,0,0
216,2014,15498,23772,21.0,0,0,0,1,1,0,0,0
217,2017,18998,28808,21.0,0,0,0,1,1,0,0,0
218,2019,24495,10000,2.0,0,0,0,1,1,0,0,0
219,2016,18990,26413,21.0,0,0,0,1,1,0,0,0
220,2014,10995,98000,21.0,0,1,0,0,1,0,0,0
221,2014,15698,39920,21.0,0,0,0,1,1,0,0,0
222,2019,22498,10455,15.0,0,0,0,1,0,0,0,1
223,2016,19298,27644,21.0,0,0,0,1,1,0,0,0
224,2017,16498,63916,2.0,0,0,0,1,0,1,0,0
225,2018,19998,15383,15.0,0,0,0,1,0,0,0,1
226,2018,20685,21929,21.0,0,0,0,1,1,0,0,0
227,2018,20489,16900,21.0,0,0,0,1,1,0,0,0
228,2017,13800,34015,21.0,0,1,0,0,1,0,0,0
229,2019,31998,2000,2.0,0,0,0,1,0,0,0,1
230,2019,29998,28000,2.0,0,0,0,1,0,0,0,1
231,2019,24998,22400,15.0,0,0,0,1,0,0,0,1
232,2019,32998,2878,2.0,0,0,0,1,0,0,0,1
233,2019,32998,4500,2.0,0,0,0,1,0,0,0,1
234,2019,29998,836,2.0,0,0,0,1,0,0,0,1
235,2017,23998,14462,21.0,0,0,0,1,1,0,0,0
236,2016,20998,23429,2.0,0,0,0,1,0,1,0,0
237,2017,16498,20764,21.0,1,0,0,0,1,0,0,0
238,2013,11998,31706,21.0,0,0,0,1,1,0,0,0
239,2015,12495,55000,21.0,1,0,0,0,1,0,0,0
240,2019,19298,10059,15.0,1,0,0,0,0,0,0,1
241,2019,23998,10357,2.0,0,0,0,1,1,0,0,0
242,2015,12495,50374,21.0,0,0,0,1,1,0,0,0
243,2015,17498,42471,21.0,0,0,0,1,0,1,0,0
244,2016,16198,41974,21.0,0,1,0,0,1,0,0,0
245,2017,18498,20618,21.0,0,0,0,1,1,0,0,0
246,2019,24998,15536,15.0,0,0,0,1,0,0,0,1
247,2019,24998,16103,15.0,0,0,0,1,0,0,0,1
248,2019,21998,14576,15.0,0,0,0,1,0,0,0,1
249,2018,29498,6198,2.0,0,0,0,1,1,0,0,0
250,2018,29498,6265,2.0,0,0,0,1,1,0,0,0
251,2016,16998,21786,21.0,0,0,0,1,1,0,0,0
252,2019,33998,1558,15.0,0,0,0,1,0,0,0,1
253,2019,32998,2258,15.0,0,0,0,1,0,0,0,1
254,2017,18998,26866,21.0,0,0,0,1,1,0,0,0
255,2019,32498,1887,15.0,0,0,0,1,0,0,0,1
256,2017,25798,9676,21.0,0,0,0,1,1,0,0,0
257,2018,20498,7894,21.0,0,0,0,1,1,0,0,0
258,2017,18498,26179,21.0,0,0,0,1,1,0,0,0
259,2016,14498,21945,2.0,0,1,0,0,0,0,0,1
260,2019,29498,2195,2.0,0,0,0,1,1,0,0,0
261,2017,17998,16291,2.0,0,0,0,1,0,0,0,1
262,2015,13498,38438,21.0,0,1,0,0,1,0,0,0
263,2016,19698,25107,2.0,1,0,0,0,0,1,0,0
264,2017,22498,20491,21.0,0,0,0,1,0,1,0,0
265,2015,11998,52792,16.0,0,1,0,0,1,0,0,0
266,2013,11998,30035,16.0,0,0,0,1,0,0,0,1
267,2020,39998,3620,2.0,0,0,0,1,0,1,0,0
268,2019,23498,19204,2.0,0,0,0,1,1,0,0,0
269,2019,57998,10,4.0,0,0,0,1,0,0,0,1
